Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-02 00:00:00-04:00,9.924769430502451,9.934714317321777,9.924769430502451,9.934714317321777,21000,0.0,0.0
2018-08-03 00:00:00-04:00,9.934714317321777,9.934714317321777,9.934714317321777,9.934714317321777,0,0.0,0.0
2018-08-06 00:00:00-04:00,10.03416313832205,10.03416313832205,9.894937542377802,9.904882431030273,6600,0.0,0.0
2018-08-07 00:00:00-04:00,9.89493465423584,9.89493465423584,9.89493465423584,9.89493465423584,500,0.0,0.0
2018-08-08 00:00:00-04:00,9.89493465423584,9.89493465423584,9.89493465423584,9.89493465423584,0,0.0,0.0
2018-08-09 00:00:00-04:00,9.84521198272705,9.84521198272705,9.84521198272705,9.84521198272705,500,0.0,0.0
2018-08-10 00:00:00-04:00,9.84521088805613,10.302665186902168,9.795488357543945,9.795488357543945,4100,0.0,0.0
2018-08-13 00:00:00-04:00,9.795490156232905,9.850185139518926,9.745766668193808,9.755711555480957,710800,0.0,0.0
2018-08-14 00:00:00-04:00,10.690508069982176,10.710397842552025,9.745765686035156,9.745765686035156,50100,0.0,0.0
2018-08-15 00:00:00-04:00,9.795488357543945,9.825322065530552,9.785543472082917,9.795488357543945,524700,0.0,0.0
2018-08-16 00:00:00-04:00,9.795488382551177,9.805432319641113,9.795488382551177,9.805432319641113,22900,0.0,0.0
2018-08-17 00:00:00-04:00,9.765654593305745,9.775599479675293,9.745765768963217,9.775599479675293,402100,0.0,0.0
2018-08-20 00:00:00-04:00,9.775599479675293,9.775599479675293,9.775599479675293,9.775599479675293,0,0.0,0.0
2018-08-21 00:00:00-04:00,9.745765686035156,9.745765686035156,9.745765686035156,9.745765686035156,2100,0.0,0.0
2018-08-22 00:00:00-04:00,9.780571839635835,9.780571839635835,9.745765686035156,9.745765686035156,24800,0.0,0.0
2018-08-23 00:00:00-04:00,9.755711555480957,9.795490156232905,9.696043180154708,9.755711555480957,334300,0.0,0.0
2018-08-24 00:00:00-04:00,9.745765686035156,9.745765686035156,9.745765686035156,9.745765686035156,100000,0.0,0.0
2018-08-27 00:00:00-04:00,9.745765543151114,9.745765543151114,9.69604206085205,9.69604206085205,2381000,0.0,0.0
2018-08-28 00:00:00-04:00,9.705986946991171,9.705986946991171,9.66620835083123,9.69604206085205,685100,0.0,0.0
2018-08-29 00:00:00-04:00,9.742782030470368,9.745765686035156,9.71593197557694,9.745765686035156,52600,0.0,0.0
2018-08-30 00:00:00-04:00,9.745765686035156,9.745765686035156,9.745765686035156,9.745765686035156,300,0.0,0.0
2018-08-31 00:00:00-04:00,9.696044868369414,9.745768365066057,9.676155090332031,9.676155090332031,10600,0.0,0.0
2018-09-04 00:00:00-04:00,9.735820770263672,9.735820770263672,9.735820770263672,9.735820770263672,100,0.0,0.0
2018-09-05 00:00:00-04:00,9.69604220300709,9.745765686035156,9.69604220300709,9.745765686035156,2100,0.0,0.0
2018-09-06 00:00:00-04:00,9.745765686035156,9.745765686035156,9.745765686035156,9.745765686035156,3800,0.0,0.0
2018-09-07 00:00:00-04:00,9.725875854492188,9.725875854492188,9.725875854492188,9.725875854492188,4300,0.0,0.0
