Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-01-10 00:00:00-05:00,1.231411973521972,1.2386127710342407,1.231411973521972,1.2386127710342407,24000,0.0,0.0
1995-01-11 00:00:00-05:00,1.2386127710342407,1.2386127710342407,1.2386127710342407,1.2386127710342407,0,0.0,0.0
1995-01-12 00:00:00-05:00,1.2386127710342407,1.2386127710342407,1.2386127710342407,1.2386127710342407,120000,0.0,0.0
1995-01-13 00:00:00-05:00,1.1521978636045713,1.1521978636045713,1.0657830238342285,1.0657830238342285,300000,0.0,0.0
1995-01-16 00:00:00-05:00,1.1521975994110107,1.1521975994110107,1.1521975994110107,1.1521975994110107,4000,0.0,0.0
1995-01-17 00:00:00-05:00,1.1521975994110107,1.1521975994110107,1.1521975994110107,1.1521975994110107,0,0.0,0.0
1995-01-18 00:00:00-05:00,1.1521975994110107,1.1521975994110107,1.1521975994110107,1.1521975994110107,0,0.0,0.0
1995-01-19 00:00:00-05:00,1.1521975994110107,1.1521975994110107,1.1521975994110107,1.1521975994110107,0,0.0,0.0
1995-01-20 00:00:00-05:00,1.1521975994110107,1.1521975994110107,1.1521975994110107,1.1521975994110107,8000,0.0,0.0
1995-01-23 00:00:00-05:00,0.921758234500885,0.921758234500885,0.921758234500885,0.921758234500885,800,0.0,0.0
1995-01-24 00:00:00-05:00,0.921758234500885,0.921758234500885,0.921758234500885,0.921758234500885,0,0.0,0.0
1995-01-25 00:00:00-05:00,1.0657827824707922,1.0729844570159912,1.0657827824707922,1.0729844570159912,180000,0.0,0.0
1995-01-26 00:00:00-05:00,1.0729847000103612,1.1233929170144572,1.0657830238342285,1.0657830238342285,1100000,0.0,0.0
1995-01-27 00:00:00-05:00,1.0657830238342285,1.0657830238342285,1.0657830238342285,1.0657830238342285,33600,0.0,0.0
1995-01-30 00:00:00-05:00,1.0657830238342285,1.0657830238342285,1.0657830238342285,1.0657830238342285,0,0.0,0.0
1995-01-31 00:00:00-05:00,1.1161918640136719,1.1233926594818473,1.1161918640136719,1.1161918640136719,100000,0.0,0.0
1995-02-01 00:00:00-05:00,1.1521975994110107,1.1521975994110107,1.1521975994110107,1.1521975994110107,160000,0.0,0.0
