Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-27 00:00:00-04:00,70.31920605144661,101.25965336575823,70.31920605144661,95.05561065673828,69700,0.0,0.0
2025-10-28 00:00:00-04:00,98.75610173437653,103.23458548606307,92.77148808301055,94.4970474243164,172600,0.0,0.0
2025-10-29 00:00:00-04:00,94.25766283998935,96.64153328080695,91.88376888578013,93.79884338378906,91700,0.0,0.0
2025-10-30 00:00:00-04:00,93.85867848661115,94.73642659183841,91.43990197896122,93.16047668457031,122600,0.0,0.0
2025-10-31 00:00:00-04:00,94.75637817382812,95.73386837068308,91.16561168078579,94.75637817382812,282500,0.0,0.0
2025-11-03 00:00:00-05:00,97.748686800298,100.28217408564853,94.75638006151337,96.75125122070312,10626200,0.0,0.0
2025-11-04 00:00:00-05:00,99.24484201233949,103.73330220385233,97.54920453947763,100.65122985839844,6091300,0.0,0.0
2025-11-05 00:00:00-05:00,104.74071015999122,105.12970941913558,93.14052974089506,99.39445495605469,7108500,0.0,0.0
2025-11-06 00:00:00-05:00,99.74356144674833,100.8906139253519,93.09066772460938,93.09066772460938,4096200,0.0,0.0
2025-11-07 00:00:00-05:00,91.92366346122198,94.75637675572779,88.45358130464015,92.07327270507812,3282800,0.0,0.0
2025-11-10 00:00:00-05:00,94.6865639989789,99.13512596452945,93.35997279398495,96.35227966308594,3220400,0.0,0.0
2025-11-11 00:00:00-05:00,98.19752993405335,101.88804615072351,95.25509801318013,96.28245544433594,2492600,0.0,0.0
2025-11-12 00:00:00-05:00,96.42209514128842,96.42209514128842,91.01599615493778,91.72417449951172,2740700,0.0,0.0
2025-11-13 00:00:00-05:00,91.26535575493035,91.51471465043562,84.60248576263623,85.67971801757812,3926100,0.0,0.0
2025-11-14 00:00:00-05:00,83.93421022501376,86.8267750890931,81.41169617322892,83.26593017578125,2466200,0.0,0.0
2025-11-17 00:00:00-05:00,81.42066849452468,83.88433574110809,78.99689958669187,81.25110626220703,2504600,0.0,0.0
2025-11-18 00:00:00-05:00,79.29612897598132,81.81963978745554,77.80995208567434,78.7774658203125,3116500,0.0,0.0
2025-11-19 00:00:00-05:00,78.92707596903733,80.10405027666721,75.52582454391391,79.41582489013672,3325400,0.0,0.0
2025-11-20 00:00:00-05:00,81.79969122732903,83.28586805955572,74.30894814894492,74.70792388916016,3072500,0.0,0.0
2025-11-21 00:00:00-05:00,74.77774041971513,77.73513301528793,73.03222830015065,75.6056137084961,2736100,0.0,0.0
2025-11-24 00:00:00-05:00,76.14422483488474,76.5382161313983,72.62327862566625,73.35140991210938,5002100,0.0,0.0
2025-11-25 00:00:00-05:00,72.81279739209873,78.85725457607819,72.75295369240138,77.80995178222656,3033500,0.0,0.0
2025-11-26 00:00:00-05:00,77.7501085129679,80.53295498411741,76.80254765723288,79.0268325805664,2234700,0.0,0.0
2025-11-28 00:00:00-05:00,79.13661250060368,81.10305076534809,79.13661250060368,80.9433364868164,947300,0.06,0.0
